,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.09812322793503332,0.2065112062454375,0.004441101209579301,cbcl_anx_dep,['hm'],HCP_Development,0.009757380633245272
1,lh_caudalanteriorcingulate_area,hm,-0.0113592270037426,0.8943320169950763,0.7412949332116183,cbcl_anx_dep,['hm'],HCP_Development,0.009757380633245272
2,lh_caudalanteriorcingulate_area,IDP (feature),-0.05531410386315286,0.42172014808620084,0.10884965954168058,dsm5_scale1,['hm'],HCP_Development,0.005981134441297553
3,lh_caudalanteriorcingulate_area,hm,0.05405524203025386,0.1839288102127724,0.11712668426714723,dsm5_scale1,['hm'],HCP_Development,0.005981134441297553
4,lh_caudalanteriorcingulate_area,IDP (feature),-0.10089427719671257,0.23999847908803054,0.003427251037924961,upps_neg,['hm'],HCP_Development,0.010861790358042023
5,lh_caudalanteriorcingulate_area,hm,0.026125899235977974,0.5297833938861948,0.44747707088616995,upps_neg,['hm'],HCP_Development,0.010861790358042023
6,lh_caudalanteriorcingulate_thickness,IDP (feature),-0.0025683184214780512,0.979732167963044,0.940875156350923,cbcl_anx_dep,['hm'],HCP_Development,0.0001357883909522961
7,lh_caudalanteriorcingulate_thickness,hm,-0.011511073715911741,0.8943320169950763,0.7395755003896571,cbcl_anx_dep,['hm'],HCP_Development,0.0001357883909522961
8,lh_caudalanteriorcingulate_thickness,IDP (feature),0.02294936023564813,0.7562297201422419,0.5068416206972945,dsm5_scale1,['hm'],HCP_Development,0.0034465043595911515
9,lh_caudalanteriorcingulate_thickness,hm,0.055336506540910775,0.1839288102127724,0.10971329477523639,dsm5_scale1,['hm'],HCP_Development,0.0034465043595911515
10,lh_caudalanteriorcingulate_thickness,IDP (feature),0.015177200662050926,0.7998484702261629,0.6610637116965554,upps_neg,['hm'],HCP_Development,0.0009117596465820776
11,lh_caudalanteriorcingulate_thickness,hm,0.026968029254032265,0.5297833938861948,0.4359993467484755,upps_neg,['hm'],HCP_Development,0.0009117596465820776
12,lh_caudalanteriorcingulate_volume,IDP (feature),-0.08552327707678183,0.3089035885681218,0.013286175852392335,cbcl_anx_dep,['hm'],HCP_Development,0.0074303452246987645
13,lh_caudalanteriorcingulate_volume,hm,-0.014986372023835137,0.8943320169950763,0.6638196935664418,cbcl_anx_dep,['hm'],HCP_Development,0.0074303452246987645
14,lh_caudalanteriorcingulate_volume,IDP (feature),-0.03614326116044913,0.6233589519025329,0.29543110022239993,dsm5_scale1,['hm'],HCP_Development,0.00422548027996672
15,lh_caudalanteriorcingulate_volume,hm,0.052521240293303496,0.1839288102127724,0.12855072467470618,dsm5_scale1,['hm'],HCP_Development,0.00422548027996672
16,lh_caudalanteriorcingulate_volume,IDP (feature),-0.09596236066957552,0.23999847908803054,0.005430452889595427,upps_neg,['hm'],HCP_Development,0.009874418582806133
17,lh_caudalanteriorcingulate_volume,hm,0.02205676651152265,0.5368210794471023,0.5218781414148685,upps_neg,['hm'],HCP_Development,0.009874418582806133
18,lh_caudalmiddlefrontal_area,IDP (feature),0.017560122189529143,0.9667512557858425,0.6117466913777481,cbcl_anx_dep,['hm'],HCP_Development,0.0004371222524267582
19,lh_caudalmiddlefrontal_area,hm,-0.012036865200496207,0.8943320169950763,0.7278820978481368,cbcl_anx_dep,['hm'],HCP_Development,0.0004371222524267582
20,lh_caudalmiddlefrontal_area,IDP (feature),0.011323928551311351,0.8859906249868945,0.7430889112793309,dsm5_scale1,['hm'],HCP_Development,0.0030495292336607527
21,lh_caudalmiddlefrontal_area,hm,0.05361890163406408,0.1839288102127724,0.12092389791407743,dsm5_scale1,['hm'],HCP_Development,0.0030495292336607527
22,lh_caudalmiddlefrontal_area,IDP (feature),-0.07292527955454399,0.3187281802726664,0.03475839906657341,upps_neg,['hm'],HCP_Development,0.005992497024500332
23,lh_caudalmiddlefrontal_area,hm,0.028898838987379445,0.5297833938861948,0.40228268619507457,upps_neg,['hm'],HCP_Development,0.005992497024500332
24,lh_caudalmiddlefrontal_thickness,IDP (feature),-0.015593277293973777,0.9667512557858425,0.6537911294132805,cbcl_anx_dep,['hm'],HCP_Development,0.0003696235972279194
25,lh_caudalmiddlefrontal_thickness,hm,-0.013022336696371406,0.8943320169950763,0.7079863442362075,cbcl_anx_dep,['hm'],HCP_Development,0.0003696235972279194
26,lh_caudalmiddlefrontal_thickness,IDP (feature),-0.03346365430370059,0.6425152179006407,0.3350182760238838,dsm5_scale1,['hm'],HCP_Development,0.0040286837441987355
27,lh_caudalmiddlefrontal_thickness,hm,0.050498745237366235,0.1839288102127724,0.14586205399204766,dsm5_scale1,['hm'],HCP_Development,0.0040286837441987355
28,lh_caudalmiddlefrontal_thickness,IDP (feature),0.023835503217806118,0.6824030507572787,0.49283064049847347,upps_neg,['hm'],HCP_Development,0.0012438654236212043
29,lh_caudalmiddlefrontal_thickness,hm,0.02864774760113968,0.5297833938861948,0.4098124178852163,upps_neg,['hm'],HCP_Development,0.0012438654236212043
30,lh_caudalmiddlefrontal_volume,IDP (feature),0.01168925943896672,0.9667512557858425,0.7352814936380243,cbcl_anx_dep,['hm'],HCP_Development,0.0002658472581035243
31,lh_caudalmiddlefrontal_volume,hm,-0.011433245052433956,0.8943320169950763,0.7408682637817976,cbcl_anx_dep,['hm'],HCP_Development,0.0002658472581035243
32,lh_caudalmiddlefrontal_volume,IDP (feature),-0.0008757219353563387,0.991134631137174,0.9797641615578259,dsm5_scale1,['hm'],HCP_Development,0.0029222512396392952
