,Source,ddof1,ddof2,F,p-unc,np2,Group
0,phenotype,2,3121.680101230501,129.9332415468693,6.262401822984883e-55,0.04783881300990467,HCP_Development
0,phenotype,1,1475.363163207465,65.35101023572348,1.2934990318445649e-15,0.031368218756535525,ANXPE
0,phenotype,2,2334.921637878873,33.23429605066003,5.8634216489739206e-15,0.014860370407242203,UKB
0,phenotype,1,1919.8728072970532,149.7935492729062,3.212987206398155e-33,0.06909954562930959,HCP_YA
0,phenotype,2,1918.6630947793362,301.96361763567023,9.66851735176632e-115,0.08528725873605385,ABCD
0,phenotype,1,2584.3094382618524,310.6598039909369,9.473600537665711e-66,0.0877406532084132,HCP_Aging
