node,Yeo
Amps_Schaefer_257,6
Amps_Schaefer_258,6
Amps_Schaefer_259,6
Amps_Schaefer_260,6
Amps_Schaefer_261,6
Amps_Schaefer_262,6
Amps_Schaefer_263,6
Amps_Schaefer_264,6
Amps_Schaefer_265,6
Amps_Schaefer_266,7
Amps_Schaefer_267,6
Amps_Schaefer_268,7
Amps_Schaefer_269,6
Amps_Schaefer_270,6
Amps_Schaefer_271,7
Amps_Schaefer_272,7
Amps_Schaefer_273,7
Amps_Schaefer_274,7
Amps_Schaefer_275,7
Amps_Schaefer_276,7
Amps_Schaefer_277,7
Amps_Schaefer_278,7
Amps_Schaefer_279,7
Amps_Schaefer_280,7
Amps_Schaefer_281,7
Amps_Schaefer_282,7
Amps_Schaefer_283,7
Amps_Schaefer_284,7
Amps_Schaefer_285,7
Amps_Schaefer_286,7
Amps_Schaefer_287,7
Amps_Schaefer_288,7
Amps_Schaefer_289,6
Amps_Schaefer_290,7
Amps_Schaefer_291,7
Amps_Schaefer_292,7
Amps_Schaefer_293,1
Amps_Schaefer_294,7
Amps_Schaefer_295,7
Amps_Schaefer_296,2
Amps_Schaefer_297,7
Amps_Schaefer_298,4
Amps_Schaefer_299,2
Amps_Schaefer_300,7
