,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
0,lh_caudalanteriorcingulate_area,IDP (feature),-0.1180416727538791,0.1504846500143663,0.004045286290708772,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.010576121554559115
1,lh_caudalanteriorcingulate_area,FS_IntraCranial_Vol,0.036667161266421514,0.7166184688796716,0.370823454975419,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.010576121554559115
2,lh_caudalanteriorcingulate_area,IDP (feature),-0.06612877011222562,0.37971901913556827,0.10799486139908776,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.003338813311078437
3,lh_caudalanteriorcingulate_area,FS_IntraCranial_Vol,0.019917325595247587,0.97397126230387,0.6280778496166985,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.003338813311078437
4,lh_caudalanteriorcingulate_area,IDP (feature),-0.09301478651918699,0.4206152522650668,0.023391730201759442,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.01032747832662706
5,lh_caudalanteriorcingulate_area,FS_IntraCranial_Vol,-0.01450184720983439,0.7352180534737509,0.7233596977725614,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.01032747832662706
6,lh_caudalanteriorcingulate_thickness,IDP (feature),-0.004897136686093679,0.9741932204165091,0.8879585251137989,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0007773684662559788
7,lh_caudalanteriorcingulate_thickness,FS_IntraCranial_Vol,-0.02797341703783798,0.7166184688796716,0.42103405707934893,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0007773684662559788
8,lh_caudalanteriorcingulate_thickness,IDP (feature),0.018355254549354407,0.8053440944090728,0.5975133603680218,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.000589225745422084
9,lh_caudalanteriorcingulate_thickness,FS_IntraCranial_Vol,-0.014052414453104907,0.97397126230387,0.6860475150400216,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.000589225745422084
10,lh_caudalanteriorcingulate_thickness,IDP (feature),0.006830730666171965,0.9579104364318148,0.8439371109653713,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.004274678872716597
11,lh_caudalanteriorcingulate_thickness,FS_IntraCranial_Vol,-0.06430113588189333,0.13203522794554134,0.06413117970302418,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.004274678872716597
12,lh_caudalanteriorcingulate_volume,IDP (feature),-0.08779403519064627,0.3327738553286322,0.019486862684006123,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.007251473917878393
13,lh_caudalanteriorcingulate_volume,FS_IntraCranial_Vol,0.007331888811172777,0.9240636714938701,0.8450733191077207,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.007251473917878393
14,lh_caudalanteriorcingulate_volume,IDP (feature),-0.03798855275172078,0.5755394644299024,0.3128619569181239,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.001472704088412491
15,lh_caudalanteriorcingulate_volume,FS_IntraCranial_Vol,-0.0009523070400339654,0.9904598245973588,0.9798097189565269,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.001472704088412491
16,lh_caudalanteriorcingulate_volume,IDP (feature),-0.08437700173430655,0.4206152522650668,0.02452480671128443,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.010230403559143064
17,lh_caudalanteriorcingulate_volume,FS_IntraCranial_Vol,-0.03159642491419414,0.4217939856695177,0.3991168896657802,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.010230403559143064
18,lh_caudalmiddlefrontal_area,IDP (feature),0.04687941422244102,0.86825637866398,0.2595036982938339,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0022712656527882347
19,lh_caudalmiddlefrontal_area,FS_IntraCranial_Vol,-0.05353100168984194,0.7166184688796716,0.19795372361722086,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0022712656527882347
20,lh_caudalmiddlefrontal_area,IDP (feature),0.0322515710607415,0.6847840408800386,0.4381145207780892,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.0009744032174365813
21,lh_caudalmiddlefrontal_area,FS_IntraCranial_Vol,-0.033944652312280915,0.97397126230387,0.4144602485685005,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.0009744032174365813
22,lh_caudalmiddlefrontal_area,IDP (feature),-0.05162501360267561,0.6405256914082529,0.21350856380275096,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.006068961777791149
23,lh_caudalmiddlefrontal_area,FS_IntraCranial_Vol,-0.03630921128661356,0.40781681913903417,0.3815060566139352,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.006068961777791149
24,lh_caudalmiddlefrontal_thickness,IDP (feature),-0.012980714967907599,0.9427857018631973,0.707515157918825,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0009218029344683076
25,lh_caudalmiddlefrontal_thickness,FS_IntraCranial_Vol,-0.026858212656211453,0.7166184688796716,0.43762834981101717,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0009218029344683076
26,lh_caudalmiddlefrontal_thickness,IDP (feature),-0.038170871756072595,0.538526014131375,0.26986493748208185,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.0017100760044300722
